Country,cty_code,gdp_2014
United States,842,17427.60
China,156,10534.53
Japan,392,4848.73
Germany,276,3896.79
United Kingdom,826,3002.39
France,251,2853.83
Brazil,76,2456.05
Italy,381,2155.15
Russia,643,2063.66
India,699,2035.39
Canada,124,1792.88
Australia,36,1449.52
Korea,410,1411.33
Spain,724,1378.04
Mexico,484,1298.47
Turkey,792,934.08
Indonesia,360,891.05
Netherlands,528,881.03
Saudi Arabia,682,756.35
Switzerland ,757,709.26
